date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:45:14	30447/30447	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-76ef%22	https://getbootstrap.com/docs/4.3/getting-started/download/	getbootstrap.com/docs/4.3/getting-started/download/index.html	(from https://getbootstrap.com/)
16:45:14	24531/24531	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-5fd3%22	https://getbootstrap.com/docs/4.3/about/overview/	getbootstrap.com/docs/4.3/about/overview/index.html	(from https://getbootstrap.com/)
16:45:14	25263/25263	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-62af%22	https://getbootstrap.com/docs/4.3/about/team/	getbootstrap.com/docs/4.3/about/team/index.html	(from https://getbootstrap.com/)
16:45:16	23959/23959	---M--	200	added ('OK')	image/png	etag:%225d89e14d-5d97%22	https://getbootstrap.com/docs/4.3/assets/brand/bootstrap-social-logo.png	getbootstrap.com/docs/4.3/assets/brand/bootstrap-social-logo.png	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:16	43442/43442	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-a9b2%22	https://getbootstrap.com/docs/4.3/getting-started/javascript/	getbootstrap.com/docs/4.3/getting-started/javascript/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:16	36973/36973	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-906d%22	https://getbootstrap.com/docs/4.3/getting-started/browsers-devices/	getbootstrap.com/docs/4.3/getting-started/browsers-devices/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:16	28719/28719	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-702f%22	https://getbootstrap.com/docs/4.3/getting-started/contents/	getbootstrap.com/docs/4.3/getting-started/contents/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:16	21740/21740	---M--	200	added ('OK')	image/png	etag:%225d89e14d-54ec%22	https://getbootstrap.com/docs/4.3/assets/img/examples/album.png	getbootstrap.com/docs/4.3/assets/img/examples/album.png	(from https://getbootstrap.com/docs/4.3/examples/)
16:45:17	28391/28391	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-6ee7%22	https://getbootstrap.com/docs/4.3/getting-started/accessibility/	getbootstrap.com/docs/4.3/getting-started/accessibility/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
16:45:17	28731/28731	---MCZ	200	added ('OK')	text/html	etag:W/%225d89e14d-703b%22	https://getbootstrap.com/docs/4.3/getting-started/webpack/	getbootstrap.com/docs/4.3/getting-started/webpack/index.html	(from https://getbootstrap.com/docs/4.3/getting-started/introduction/)
